Product,Price,Currency,Description
HP Elitebook 1,800,USD,High-performance laptop with 16GB RAM and SSD storage
Canon Pixma 2,150,USD,Compact inkjet printer for vibrant color prints
Cisco Router 3,100,USD,Advanced router ensuring fast connectivity
Hikvision CCTV 4,90,USD,High-resolution CCTV camera for surveillance
Microsoft Windows 11 5,100,USD,Versatile operating system for seamless computing
APC UPS 6,200,USD,Reliable UPS providing backup power
Dell EMC Server 7,2000,USD,Enterprise-grade server with robust performance
Square POS 8,400,USD,Modern POS terminal for efficient transactions
Dell Inspiron 9,750,USD,Efficient desktop designed for everyday use
HP LaserJet 10,300,USD,Reliable laser printer for fast printing
TP-Link Switch 11,120,USD,Efficient network switch for seamless networking
Dahua DVR 12,220,USD,Efficient DVR for continuous recording
SAP ERP 13,600,USD,Robust business application streamlining operations
SolarEdge Inverter 14,800,USD,Efficient solar inverter for renewable energy
VMware vSphere 15,700,USD,Cutting-edge virtualization solution for optimized resources
Zebra Scanner 16,150,USD,Accurate barcode scanner for fast inventory management
Lenovo AIO 17,900,USD,Compact all-in-one PC for modern workplaces
Canon Copier 18,250,USD,Efficient copier designed for high-volume use
Netgear Wireless 19,150,USD,Reliable wireless access point for robust Wi-Fi
Honeywell Access Control 20,300,USD,Advanced access control system for secure entry
AWS Cloud 21,150,USD,Scalable cloud service offering flexible computing
Eaton PDU 22,300,USD,High-quality PDU ensuring stable power distribution
Oracle Database 23,3500,USD,Robust DBMS ensuring data integrity
Casio Register 24,120,USD,Reliable cash register with user-friendly interface
Dell Precision 25,1200,USD,High-performance workstation for professional applications
Canon Pixma 26,150,USD,Compact inkjet printer for vibrant color prints
TP-Link Switch 27,120,USD,Efficient network switch for seamless networking
Dahua DVR 28,220,USD,Efficient DVR for continuous recording
SAP ERP 29,600,USD,Robust business application streamlining operations
APC UPS 30,200,USD,Reliable UPS providing backup power
Dell EMC Server 31,2000,USD,Enterprise-grade server with robust performance
Square POS 32,400,USD,Modern POS terminal for efficient transactions
HP Elitebook 33,800,USD,High-performance laptop with 16GB RAM and SSD storage
Canon Pixma 34,150,USD,Compact inkjet printer for vibrant color prints
Cisco Router 35,100,USD,Advanced router ensuring fast connectivity
